SUJETO1,RELACION,SUJETO2
Pegasus Spiele,Sagrada - Editorial,"Pegasus Spiele Verlags- und Medienvertriebsgesellschaft mbH, as the full name of the company goes, has been active since 1993 with its CEOs and owners Karsten Esser and Andreas Finkernagel in charge. Within the last decade, the German company has established itself not only as a distributor, but also as a publisher of successful board games - which is reflected in the ongoing series of prestigious nominations and awards. After nominations for the Spiel des Jahres in 2009 and 2010, as well as the nomination of “Strasbourg” for Kennerspiel des Jahres (expert game of the year) in 2011, the critically acclaimed “Village” by editorial partner eggertspiele was awarded Kennerspiel des Jahres 2012 and received the Deutscher Spielepreis (German Game Prize). In 2014 the jury Spiel des Jahres nominated three games simultaneously: The fast-paced family game “Camel Up” and the expert games “Istanbul” and “Rokoko”. Pegasus Spiele won both awards: “Camel Up” by editorial partner eggertspiele was awarded the Spiel des Jahres 2014, “Istanbul” won the Kennerspiel des Jahres 2014. In 2016, Pegasus Spiele was nominated for the Kinderspiel des Jahres (children’s game of the year) for the very first time with “Mmm!”. One year later, Pegasus Spiele received a double nomination for the Spiel des Jahres with “Kingdomino” and “Magic Maze” – and took the award home a second time with “Kingdomino”. At the same time, the publisher appeared on the recommendations list both for the Kinderspiel and for the Kennerspiel des Jahres."
Reflexshop,Sagrada - Editorial,„We don't stop playing because we grow old; we grow old because we stop playing.”  - George Bernard Shaw
Yes Papa Games,Sagrada - Editorial,"Yes Papa Games was founded in the year 2019 in India, with a mission of ""Reconnecting Family"". We believe that modern board and card games are one of the way for connecting our family together and reduce our children time on gadgets.We have partnered with International Publishers and game designers to publish award winning board and card games for India and Middle East and make them available at an affordable price."
Dice,Sagrada - Categoría,"Dicegames often use dice as its sole or principal component.Dicegames traditionally focus almost exclusively on dice rolling as a mechanic (e.g.,Yahtzee,Perudo,Can't Stop)."
Puzzle,Sagrada - Categoría,"Puzzlegames are those in which the players are trying to solve a puzzle.  Manypuzzlegames require players to use problem solving, pattern recognition, organization and/or sequencing to reach their objectives. Escape Room and Mystery Room games are types of Puzzle games."
Contracts,Sagrada - Mecánica,"Players fulfill Contracts to earn rewards. These take the form of special goals requiring coordination and planning beyond simply being ""first past the post"". These can be either public, where all players compete to be the first to complete them, or private, where only the owning player may fulfill them."
Dice Rolling,Sagrada - Mecánica,"""Dice Rolling""is a game mechanism that can be used for many things, randomness being the most obvious."
End Game Bonuses,Sagrada - Mecánica,Players earn (or lose!) bonus Victory Points (VPs) at the end of the game based on meeting victory conditions.
Grid Coverage,Sagrada - Mecánica,"A family of mechanisms in which players cover a grid or fill a space using a variety of shapes, such asComponents: Polyominoes. This includes the coverage of areas defined (by shape or color) on the board itself with pieces or tiles."
Open Drafting,Sagrada - Mecánica,"Open Drafting is used in games in which players pick (or purchase) cards (or tiles, resources, dice, etc) from a common pool, to gain some advantage or to assemble collections that are used to meet objectives within the game."
Pattern Building,Sagrada - Mecánica,"Players must configure game components in sophisticated patterns in order to score or trigger actions, as would be typical for games in thePuzzlecategory."
Set Collection,Sagrada - Mecánica,"The value of items is dependent on being part of a set; for example, scoring according to groups of a certain quantity or variety."
Solo / Solitaire Game,Sagrada - Mecánica,"Games that are intended for play by a single player, or that have a game mode intended for play by a single player."
Turn Order: Progressive,Sagrada - Mecánica,"One player has the First Player token. At the end of the round, the token passes to the player to the left, who becomes the new First Player for that round. During the round, players take turns clockwise around the table."
Variable Set-up,Sagrada - Mecánica,"The starting game state varies from game to game, through changes to shared game components like the map, and/or changes to starting player set-ups, resources, objectives, etc."
Category: Dized Tutorial,Sagrada - Familia,The games in this category have an official rules tutorial on the Dized app.You can get notifications for new releases by subscribing to theDized Geeklist.
Cities: Barcelona (Spain),Sagrada - Familia,"Games relating to the city of Barcelona, Spain"
Components: Dice as Playing Units,Sagrada - Familia,"Games where the dice are used as playing units, typically board games where the dice are placed on the main board or individual playing boards. As such, the dice are colored in player colors to distinguish them once in play. Dice may be mobile, retrieved from the board or static for the duration of the round. Usually there are designated placement spots or areas."
Crowdfunding: Kickstarter,Sagrada - Familia,"Games that are launched on theKickstarterwebsite. This family is for games that are launched on thehttp://www.kickstarter.comwebsite—including games for which the Kickstarter campaign has been successfully completed, of for which the Kickstarter campaign has ended unsuccessfully or was cancelled."
Digital Implementations: Google Play,Sagrada - Familia,Board games adapted to mobile applications available on Google Play.
Digital Implementations: Steam,Sagrada - Familia,Board games that have been (re)implemented on the Steam platform. This may includes games that run on Windows and/or MacOS and/or Linux.
Game: Sagrada,Sagrada - Familia,"The family of Sagrada (designed by Adrian Adamescu and Daryl Andrews, released in 2017) and all of its expansions and promos."
Mechanism: Dice Drafting,Sagrada - Familia,"Dice drafting games are games in which players pick a die/dice from a limited subset, such as a common pool, to gain some advantage or to assemble a set that is used to meet goals within the game."
Misc: Watch It Played How To Videos,Sagrada - Familia,Games that are featured in Watch It Played Videos featuring Rodney Smith
Organizations: The Game Artisans of Canada,Sagrada - Familia,"Games (expansions, promos, etc.) associated with The Game Artisans of Canada. (They are not a publisher, but an independent organization.)"
Players: Games with Solitaire Rules,Sagrada - Familia,"Games (expansions, promos, etc.) that include rules for solitaire play."
Theme: Art,Sagrada - Familia,"Games (expansions, promos, etc.) featuring art in theme or gameplay."
Theme: Art style – Art Nouveau,Sagrada - Familia,"This is a collection of games whose art style is influenced by Art Nouveau.For some games, only some game versions have an art in Art Nouveau style."
Theme: Stained glass,Sagrada - Familia,"Stained glass is colored glass that is arranged in decorative patterns or pictures, typically held together by strips of lead and supported by a rigid frame. It is most commonly used in windows, especially in churches and other significant buildings, to depict scenes, figures, or designs. The color is usually achieved by adding metallic salts during the glassmaking process or by painting and firing the glass.In art, stained glass refers to a form of decorative art where pieces of colored glass are arranged to create images or patterns, often set into windows. It's both a visual art form and a craft, combining artistic design with technical skill in cutting, assembling, and joining the glass."
